,Result
27749,1
19733,1
11037,0
19592,1
20,0
15873,1
26907,1
1429,0
27559,1
13358,0
3433,0
28859,1
6027,0
3811,0
11517,0
9227,0
28935,1
1849,0
25796,1
25691,1
28420,1
25143,1
9764,0
3679,0
29115,1
2804,0
28170,1
26240,1
18732,1
6388,0
6960,0
14457,0
4193,0
25157,1
16542,1
1770,0
5951,0
12282,0
24693,1
21136,1
26663,1
11856,0
11845,0
15993,1
26287,1
7770,0
28242,1
14843,1
8220,0
24268,1
17180,1
23430,1
19621,1
8355,0
5405,0
17804,1
24204,1
19700,1
5523,0
17372,1
14693,1
25252,1
3810,0
13263,0
6129,0
15384,1
12369,0
5700,0
26118,1
18996,1
19197,1
27222,1
14942,1
3018,0
5455,0
5735,0
15717,1
22321,1
7069,0
17042,1
10131,0
10797,0
22625,1
16344,1
25550,1
8364,0
17648,1
16367,1
10881,0
18426,1
27405,1
20234,1
1244,0
16114,1
5671,0
17061,1
13148,0
7845,0
27167,1
24247,1
5197,0
8140,0
15104,1
16558,1
1176,0
25843,1
5694,0
21667,1
8814,0
17753,1
28645,1
10162,0
4278,0
2876,0
11650,0
10401,0
21393,1
23339,1
29306,1
21048,1
14682,1
23882,1
29100,1
16749,1
26427,1
24550,1
16891,1
12936,0
23069,1
16370,1
15708,1
18074,1
17947,1
2789,0
23884,1
9676,0
10775,0
2977,0
9497,0
13256,0
26051,1
15157,1
10927,0
26935,1
23365,1
23208,1
9110,0
2952,0
19667,1
24819,1
20028,1
917,0
8909,0
6737,0
27194,1
18878,1
22893,1
1862,0
3052,0
28032,1
14228,0
6068,0
1956,0
11915,0
632,0
4665,0
27219,1
10274,0
250,0
1733,0
3836,0
15383,1
27593,1
10962,0
7422,0
22207,1
1689,0
2259,0
6808,0
18036,1
16141,1
11057,0
17928,1
15344,1
26403,1
3172,0
10666,0
24906,1
13377,0
1314,0
13131,0
22420,1
5265,0
21531,1
18271,1
7881,0
13218,0
20954,1
1933,0
6364,0
26614,1
26811,1
1633,0
21349,1
12712,0
852,0
7144,0
19878,1
20850,1
6968,0
11304,0
23349,1
6283,0
3382,0
24322,1
25398,1
11668,0
5240,0
26324,1
13260,0
7561,0
18995,1
15799,1
14043,0
22393,1
24630,1
1222,0
24697,1
10547,0
19727,1
6961,0
20000,1
24030,1
8726,0
12579,0
338,0
21729,1
825,0
28379,1
25018,1
4829,0
5901,0
20345,1
21899,1
1496,0
7888,0
25442,1
151,0
15958,1
3218,0
21461,1
17049,1
27366,1
340,0
2958,0
892,0
2540,0
27202,1
20311,1
24686,1
4081,0
11716,0
25904,1
14902,1
8934,0
23709,1
7782,0
24213,1
22494,1
24789,1
2515,0
2817,0
14676,1
19884,1
21208,1
22653,1
511,0
23980,1
28558,1
26122,1
8165,0
16186,1
3093,0
27981,1
13109,0
19076,1
1317,0
6147,0
27821,1
6074,0
6090,0
27799,1
2187,0
26742,1
7371,0
24722,1
18798,1
6248,0
8939,0
23054,1
25327,1
25873,1
12015,0
28597,1
24892,1
23285,1
28721,1
2260,0
10951,0
18352,1
4375,0
22006,1
3096,0
5014,0
2427,0
27397,1
15962,1
26212,1
11679,0
15155,1
25090,1
18580,1
1562,0
29136,1
18574,1
26315,1
75,0
17148,1
18466,1
6642,0
20499,1
21375,1
25469,1
19816,1
21860,1
12453,0
6143,0
9834,0
23222,1
4259,0
16255,1
23352,1
29130,1
10528,0
8876,0
21740,1
10953,0
24807,1
17909,1
18907,1
13150,0
20842,1
14426,0
2582,0
10249,0
21104,1
21625,1
23101,1
12102,0
20965,1
1234,0
1631,0
3972,0
17861,1
21538,1
7745,0
21850,1
7259,0
23770,1
9677,0
23786,1
6134,0
21341,1
26271,1
6421,0
2488,0
6178,0
22184,1
16312,1
4817,0
11243,0
14149,0
28053,1
6066,0
8057,0
20640,1
11685,0
7963,0
1923,0
3256,0
22396,1
9510,0
533,0
23212,1
24846,1
4146,0
14580,0
21632,1
14002,0
27684,1
25388,1
10094,0
29274,1
13951,0
25962,1
8802,0
20055,1
26503,1
12887,0
2982,0
2100,0
15815,1
9247,0
11166,0
27989,1
8045,0
12667,0
24050,1
10245,0
29237,1
8764,0
17504,1
19478,1
2981,0
22599,1
23864,1
9952,0
26984,1
14905,1
1945,0
14033,0
13267,0
11891,0
22570,1
4865,0
8773,0
14475,0
26481,1
3833,0
17572,1
24907,1
8492,0
19985,1
8445,0
1771,0
8518,0
9783,0
25406,1
6072,0
5911,0
17893,1
3222,0
10572,0
27098,1
11699,0
25202,1
8236,0
12758,0
3581,0
7919,0
9982,0
17019,1
29107,1
115,0
24990,1
20962,1
17705,1
16972,1
2445,0
4332,0
10378,0
4532,0
21516,1
2622,0
20178,1
12382,0
7825,0
18847,1
25797,1
27463,1
11264,0
12337,0
12878,0
1877,0
27611,1
1099,0
29318,1
18501,1
5442,0
2957,0
18975,1
10579,0
1722,0
11286,0
17028,1
14750,1
1250,0
29245,1
17561,1
7182,0
9513,0
23571,1
11899,0
9933,0
18329,1
20019,1
28434,1
23803,1
17255,1
29291,1
8628,0
20022,1
12665,0
19390,1
27699,1
23873,1
11949,0
9174,0
5427,0
18674,1
13551,0
2197,0
25960,1
13757,0
25165,1
16916,1
2037,0
3056,0
17570,1
7563,0
8297,0
25221,1
17280,1
4399,0
6320,0
5858,0
9975,0
21354,1
3793,0
28331,1
5346,0
9634,0
26107,1
2368,0
12833,0
4897,0
20462,1
28207,1
12976,0
5598,0
17013,1
26563,1
26966,1
3844,0
13297,0
19642,1
28729,1
27921,1
9435,0
14180,0
25669,1
29176,1
21397,1
10794,0
14725,1
15764,1
27363,1
25738,1
14816,1
4243,0
5074,0
21035,1
13059,0
15276,1
19893,1
24318,1
5304,0
14849,1
14128,0
11565,0
6269,0
6061,0
13500,0
26761,1
10114,0
15635,1
17964,1
20344,1
26500,1
5251,0
17277,1
1999,0
11760,0
10690,0
10771,0
2189,0
11011,0
12052,0
12638,0
20551,1
26926,1
17244,1
4784,0
10268,0
14054,0
17458,1
12261,0
28218,1
3361,0
24940,1
7873,0
20202,1
17859,1
11617,0
11106,0
22431,1
295,0
24334,1
28284,1
25660,1
23589,1
14501,0
28521,1
13908,0
28664,1
415,0
25942,1
27340,1
3317,0
4611,0
17981,1
1887,0
20132,1
19883,1
25441,1
3161,0
19637,1
23973,1
22352,1
17247,1
14155,0
6341,0
28343,1
13526,0
10465,0
21257,1
8026,0
11585,0
19827,1
5419,0
5748,0
19144,1
14375,0
7013,0
12207,0
5653,0
6106,0
26105,1
22191,1
5633,0
25004,1
15864,1
12805,0
28802,1
10938,0
20940,1
9111,0
9384,0
24009,1
9545,0
20590,1
10720,0
18506,1
16408,1
5067,0
27571,1
20267,1
13921,0
11329,0
12681,0
553,0
5556,0
6807,0
17795,1
12053,0
1076,0
13281,0
28191,1
21241,1
2318,0
7480,0
15277,1
17120,1
26730,1
11384,0
26193,1
26512,1
26520,1
20983,1
26872,1
10824,0
24353,1
270,0
8576,0
21883,1
25066,1
25776,1
24894,1
28547,1
9526,0
8994,0
23546,1
22801,1
10152,0
3337,0
10716,0
11669,0
22331,1
1278,0
22538,1
8284,0
9114,0
1459,0
17852,1
2418,0
28081,1
8078,0
17792,1
19090,1
11143,0
13017,0
28630,1
28402,1
29077,1
4078,0
6722,0
9809,0
27250,1
10924,0
11091,0
27367,1
17849,1
19897,1
13626,0
21039,1
17060,1
9726,0
15920,1
9884,0
25233,1
17537,1
4649,0
5627,0
12868,0
13571,0
1570,0
25635,1
26884,1
6326,0
2963,0
7414,0
12255,0
15757,1
29133,1
17546,1
24083,1
9793,0
22597,1
11985,0
11423,0
28615,1
11702,0
7924,0
28964,1
2914,0
2954,0
10550,0
24657,1
7588,0
7616,0
10333,0
22687,1
18401,1
14810,1
8697,0
21858,1
26267,1
19654,1
26689,1
12358,0
25412,1
23729,1
9068,0
9277,0
28149,1
3229,0
12333,0
9478,0
7129,0
19475,1
7820,0
7334,0
10739,0
9425,0
4500,0
21093,1
27486,1
21413,1
24309,1
2448,0
543,0
11557,0
11602,0
3350,0
284,0
27370,1
16452,1
20653,1
8142,0
16009,1
360,0
6666,0
24646,1
16812,1
12788,0
21478,1
1886,0
23608,1
12312,0
15760,1
27607,1
12223,0
3646,0
4934,0
24033,1
24344,1
18552,1
6813,0
24380,1
10027,0
19885,1
5990,0
11975,0
21818,1
2973,0
7415,0
29080,1
24115,1
13775,0
23009,1
17694,1
2365,0
15387,1
6373,0
28856,1
4899,0
24116,1
936,0
16793,1
5708,0
8280,0
21382,1
18160,1
24629,1
17558,1
20613,1
12306,0
5406,0
12994,0
19958,1
25945,1
6410,0
3083,0
21184,1
20516,1
19742,1
5209,0
23429,1
3512,0
12752,0
266,0
15955,1
20887,1
7972,0
24868,1
16874,1
29319,1
24782,1
29012,1
4509,0
872,0
23839,1
6860,0
22473,1
27545,1
22869,1
11177,0
1866,0
10889,0
25181,1
11032,0
11056,0
26388,1
8265,0
19235,1
29330,1
23119,1
13153,0
21805,1
15895,1
28363,1
1885,0
22744,1
1576,0
22670,1
9950,0
28509,1
18981,1
5314,0
13327,0
10302,0
6928,0
18083,1
5699,0
22079,1
12374,0
27680,1
2404,0
21811,1
11151,0
15876,1
11089,0
2736,0
17995,1
21795,1
3658,0
21428,1
6607,0
16454,1
10648,0
6992,0
12870,0
14209,0
5303,0
19864,1
17601,1
11079,0
27190,1
14367,0
20338,1
1820,0
7655,0
2800,0
11103,0
21448,1
20231,1
810,0
10271,0
16197,1
18395,1
21298,1
28401,1
6709,0
12864,0
10918,0
2872,0
11619,0
14129,0
9864,0
10213,0
17727,1
1036,0
20665,1
17221,1
15842,1
10593,0
16078,1
13510,0
12460,0
26737,1
5362,0
1740,0
14365,0
10339,0
5675,0
8930,0
26656,1
16033,1
1699,0
62,0
7046,0
19171,1
26455,1
10267,0
7569,0
4095,0
24065,1
1009,0
9410,0
3277,0
23614,1
17565,1
3572,0
1917,0
18215,1
27094,1
11535,0
27566,1
21055,1
18087,1
16723,1
22916,1
28391,1
2636,0
8276,0
27299,1
13667,0
15017,1
12646,0
18906,1
10689,0
13211,0
11443,0
9509,0
3625,0
23831,1
29053,1
4227,0
16736,1
24337,1
24703,1
5738,0
17477,1
8331,0
2665,0
1089,0
18389,1
23127,1
3859,0
25111,1
15497,1
8770,0
3124,0
2915,0
19681,1
5676,0
19841,1
7133,0
22454,1
20679,1
4023,0
9298,0
262,0
11628,0
1454,0
8325,0
8912,0
3621,0
19049,1
6965,0
881,0
11174,0
10802,0
15485,1
10155,0
12822,0
22251,1
13617,0
6864,0
15037,1
11357,0
716,0
5284,0
1824,0
25244,1
19334,1
4400,0
9584,0
24565,1
15549,1
16102,1
26113,1
8861,0
10748,0
24148,1
27830,1
4295,0
26031,1
27415,1
6774,0
16605,1
13401,0
13325,0
26913,1
1813,0
2671,0
23261,1
3119,0
10355,0
19685,1
25251,1
8271,0
19519,1
25928,1
2054,0
22854,1
23327,1
10919,0
877,0
7629,0
13683,0
17982,1
27354,1
19025,1
4490,0
21342,1
510,0
6163,0
21379,1
10501,0
12869,0
11532,0
23702,1
15483,1
23809,1
3664,0
22690,1
3062,0
21543,1
11280,0
1683,0
8587,0
8085,0
28557,1
17263,1
7300,0
27864,1
26725,1
17803,1
27485,1
11477,0
8637,0
2015,0
11898,0
28857,1
15767,1
4603,0
14545,0
19932,1
124,0
12824,0
23760,1
10414,0
7850,0
6694,0
1293,0
1494,0
19188,1
25488,1
7335,0
28723,1
25546,1
9251,0
11817,0
7940,0
13166,0
11368,0
15994,1
18198,1
11,0
27335,1
20763,1
17626,1
15967,1
19817,1
10625,0
11999,0
4445,0
3061,0
11204,0
2564,0
101,0
23188,1
22781,1
6378,0
21289,1
6114,0
27944,1
15499,1
20248,1
9027,0
1603,0
21270,1
2528,0
3809,0
5099,0
8090,0
13141,0
24721,1
5613,0
6557,0
17599,1
7780,0
12746,0
1269,0
2686,0
22453,1
22516,1
23378,1
5465,0
23406,1
25021,1
118,0
2114,0
4143,0
11966,0
10296,0
15553,1
17291,1
14628,0
12496,0
28281,1
10882,0
19446,1
8234,0
21247,1
16394,1
20773,1
21934,1
18916,1
3204,0
16867,1
19154,1
2241,0
6650,0
5954,0
9578,0
13128,0
24579,1
893,0
28465,1
10400,0
19297,1
17419,1
8092,0
315,0
14804,1
17998,1
23097,1
18721,1
3959,0
25862,1
8553,0
19940,1
24491,1
24694,1
7008,0
6622,0
25753,1
28059,1
3501,0
17063,1
1485,0
17464,1
27941,1
13939,0
24179,1
4266,0
2096,0
19081,1
1333,0
23434,1
19189,1
6035,0
11604,0
19554,1
23545,1
26421,1
17870,1
23321,1
1660,0
1311,0
10301,0
22165,1
18353,1
3037,0
14677,1
1667,0
20714,1
13120,0
4561,0
3427,0
25475,1
7912,0
19123,1
27623,1
23837,1
26237,1
19778,1
13232,0
4136,0
26790,1
22547,1
2119,0
7359,0
19122,1
2785,0
26962,1
3590,0
22134,1
14207,0
29297,1
8418,0
17818,1
15658,1
27868,1
17425,1
16922,1
6268,0
1445,0
12844,0
23773,1
25886,1
16760,1
16815,1
18429,1
21158,1
14124,0
20760,1
6361,0
5371,0
19474,1
11846,0
17509,1
18355,1
4550,0
27269,1
16664,1
15119,1
1437,0
11533,0
19053,1
18889,1
18710,1
10064,0
11039,0
1707,0
4271,0
6598,0
23038,1
12380,0
18571,1
15824,1
25533,1
27080,1
13202,0
16104,1
15458,1
18817,1
26892,1
23908,1
24141,1
23954,1
6520,0
12720,0
22249,1
24118,1
7227,0
17043,1
19631,1
4843,0
29025,1
8473,0
13786,0
20337,1
24186,1
18064,1
18532,1
11934,0
24761,1
10782,0
23063,1
7802,0
9583,0
969,0
635,0
16655,1
25235,1
5831,0
12321,0
4996,0
15831,1
24291,1
750,0
4703,0
20614,1
3176,0
4373,0
19127,1
25427,1
3980,0
24870,1
15395,1
24327,1
22871,1
377,0
21783,1
993,0
19692,1
9189,0
16958,1
24970,1
25671,1
16910,1
8341,0
1682,0
7719,0
18920,1
16952,1
12418,0
7307,0
17114,1
11139,0
20273,1
29089,1
5571,0
17961,1
16690,1
2928,0
8596,0
26465,1
26920,1
28574,1
5955,0
10736,0
18979,1
3943,0
17708,1
4507,0
27900,1
8593,0
13722,0
18517,1
730,0
29186,1
260,0
18232,1
25743,1
23189,1
9723,0
17123,1
9118,0
12089,0
6594,0
3391,0
20651,1
8842,0
25369,1
8763,0
895,0
2932,0
27059,1
28962,1
26454,1
25930,1
23892,1
18976,1
19074,1
5836,0
2631,0
14546,0
482,0
8984,0
10537,0
23492,1
5751,0
3579,0
258,0
17853,1
19769,1
29300,1
22557,1
26213,1
24225,1
23613,1
20098,1
4766,0
24102,1
9929,0
14417,0
11466,0
21738,1
24369,1
4676,0
25689,1
4268,0
11910,0
9885,0
17593,1
19282,1
12761,0
20553,1
22936,1
20164,1
11345,0
28057,1
11713,0
305,0
21484,1
1763,0
10440,0
880,0
12672,0
4186,0
137,0
28130,1
13381,0
18662,1
17334,1
27779,1
27482,1
20804,1
4861,0
22807,1
4362,0
23519,1
17143,1
15959,1
21754,1
7502,0
20839,1
19904,1
9843,0
1694,0
18637,1
21111,1
24034,1
19397,1
13654,0
23437,1
9266,0
22130,1
27631,1
23556,1
27578,1
16321,1
6665,0
10874,0
24345,1
27811,1
26179,1
13108,0
15638,1
1597,0
1966,0
20310,1
16735,1
9684,0
12339,0
2933,0
23528,1
10058,0
24774,1
16709,1
15514,1
21794,1
7732,0
10306,0
10210,0
12978,0
6579,0
23515,1
2608,0
13048,0
18398,1
27492,1
26575,1
7553,0
5296,0
9238,0
29174,1
10142,0
18168,1
15489,1
7886,0
1596,0
3619,0
17667,1
10855,0
20604,1
17046,1
12597,0
18257,1
23006,1
1092,0
2229,0
24613,1
16456,1
11461,0
4785,0
13291,0
18988,1
9886,0
3752,0
13566,0
15263,1
7607,0
10078,0
22824,1
14521,0
13522,0
8896,0
11527,0
2294,0
16591,1
21060,1
26976,1
14595,0
4835,0
4571,0
27044,1
18633,1
26517,1
26353,1
16155,1
9446,0
25455,1
7863,0
948,0
26052,1
8339,0
24263,1
11808,0
11292,0
5509,0
19914,1
23570,1
6844,0
22068,1
19000,1
10189,0
11762,0
26466,1
15596,1
23472,1
22931,1
7939,0
20198,1
2472,0
21733,1
25198,1
2848,0
27554,1
8007,0
13809,0
15413,1
10869,0
12199,0
12732,0
24997,1
12840,0
10489,0
7628,0
25770,1
10470,0
11902,0
21462,1
28071,1
28503,1
3775,0
13294,0
24202,1
991,0
14988,1
1225,0
911,0
26809,1
17296,1
27006,1
7352,0
14775,1
21359,1
22247,1
7309,0
12060,0
19572,1
12456,0
20815,1
15283,1
19066,1
16753,1
19920,1
3645,0
6669,0
8346,0
24420,1
17791,1
9613,0
18207,1
630,0
28387,1
2640,0
11607,0
9623,0
369,0
22270,1
22460,1
17721,1
1600,0
18843,1
8580,0
5795,0
21807,1
22447,1
15871,1
29075,1
14525,0
25682,1
56,0
10017,0
12353,0
855,0
16767,1
15258,1
23828,1
5363,0
9466,0
2624,0
14940,1
334,0
682,0
13137,0
17059,1
2846,0
22246,1
3993,0
12034,0
25501,1
12608,0
22748,1
6245,0
20527,1
16282,1
16949,1
339,0
1360,0
24855,1
3914,0
7671,0
20586,1
9567,0
6945,0
14409,0
23964,1
9177,0
19876,1
20378,1
15762,1
1958,0
11907,0
15059,1
12947,0
24718,1
24458,1
6601,0
2275,0
24555,1
23139,1
3370,0
9483,0
20913,1
25363,1
18789,1
10214,0
28455,1
6558,0
7539,0
28592,1
26506,1
5464,0
17379,1
23300,1
18507,1
17353,1
10773,0
24323,1
12420,0
23919,1
11608,0
7809,0
19413,1
21008,1
7100,0
19867,1
3362,0
19822,1
7304,0
26946,1
5512,0
550,0
13466,0
18420,1
16597,1
26262,1
11158,0
13734,0
739,0
1261,0
11321,0
17365,1
8343,0
14852,1
4930,0
13777,0
9,0
5183,0
16306,1
12225,0
28736,1
13711,0
5758,0
8898,0
14927,1
21291,1
23813,1
20836,1
17895,1
14625,0
22707,1
28961,1
21796,1
2071,0
25097,1
21192,1
4966,0
25220,1
15826,1
18494,1
5323,0
21867,1
13697,0
3342,0
21559,1
5658,0
28665,1
11315,0
5407,0
13135,0
13870,0
9366,0
21399,1
15613,1
24757,1
17072,1
17825,1
12331,0
8662,0
17414,1
5254,0
20406,1
11018,0
28090,1
25830,1
13362,0
13821,0
2762,0
2077,0
10902,0
15619,1
5191,0
4173,0
22638,1
23753,1
7633,0
3393,0
24714,1
4654,0
27604,1
5149,0
15186,1
17408,1
7971,0
25481,1
21997,1
6504,0
11715,0
14117,0
24648,1
11363,0
9182,0
5789,0
17713,1
18358,1
9345,0
18422,1
24873,1
9802,0
20219,1
5100,0
16384,1
6649,0
19243,1
18368,1
18904,1
13523,0
28588,1
11611,0
21685,1
447,0
16516,1
5140,0
2849,0
7455,0
4413,0
23648,1
11893,0
14893,1
16810,1
10164,0
12417,0
14458,0
6374,0
8839,0
16724,1
23719,1
20870,1
13666,0
12479,0
22109,1
26,0
19346,1
3760,0
21157,1
4382,0
3546,0
18403,1
11033,0
1003,0
13042,0
18961,1
21662,1
6904,0
9699,0
13975,0
21388,1
13250,0
23858,1
6149,0
23307,1
20177,1
26757,1
12842,0
23820,1
18196,1
21166,1
21873,1
7461,0
22153,1
28511,1
15816,1
20632,1
15117,1
10581,0
4936,0
16482,1
19812,1
24463,1
27846,1
28200,1
6912,0
18925,1
1726,0
13378,0
28617,1
15602,1
12912,0
10057,0
10343,0
18202,1
9115,0
14847,1
8184,0
15850,1
7085,0
3654,0
29072,1
3897,0
6681,0
21180,1
1397,0
7349,0
4086,0
17904,1
3817,0
20009,1
5473,0
13351,0
9893,0
18393,1
24060,1
1695,0
28112,1
3041,0
22000,1
8829,0
16825,1
29126,1
9332,0
1532,0
9154,0
5339,0
23639,1
1898,0
8979,0
28186,1
18216,1
11672,0
3276,0
25454,1
19237,1
3582,0
14173,0
17807,1
2498,0
21615,1
23157,1
26482,1
4164,0
14660,1
12598,0
4114,0
502,0
9048,0
13709,0
17260,1
21418,1
9569,0
27434,1
25961,1
5595,0
20799,1
22832,1
6322,0
27454,1
21033,1
3955,0
12084,0
10340,0
19708,1
4089,0
23050,1
26667,1
25980,1
28247,1
7345,0
15546,1
1910,0
113,0
3846,0
14925,1
4169,0
24417,1
23883,1
22429,1
15509,1
28063,1
12493,0
28318,1
18050,1
13941,0
18582,1
18755,1
15408,1
13157,0
26846,1
25561,1
28887,1
18004,1
4220,0
29048,1
8168,0
24439,1
20444,1
9527,0
4331,0
7108,0
26338,1
3894,0
17497,1
1920,0
23033,1
22664,1
4682,0
22715,1
21527,1
10130,0
1519,0
14276,0
4321,0
23886,1
1706,0
14949,1
804,0
15065,1
11616,0
20314,1
5506,0
6254,0
12495,0
25956,1
2699,0
7627,0
10704,0
16079,1
17200,1
23092,1
20042,1
19391,1
6172,0
5839,0
9084,0
18802,1
23774,1
7911,0
11739,0
4729,0
19018,1
24533,1
7165,0
25146,1
20762,1
16189,1
8862,0
9158,0
18077,1
15285,1
24352,1
10591,0
2538,0
24235,1
11314,0
29019,1
10555,0
19839,1
4280,0
17207,1
1826,0
19938,1
12701,0
692,0
15983,1
5563,0
19819,1
2675,0
854,0
7420,0
24934,1
10632,0
5825,0
21741,1
7442,0
17435,1
24597,1
17457,1
15569,1
21328,1
22195,1
26505,1
7591,0
16146,1
8689,0
16200,1
10293,0
4667,0
7362,0
3539,0
25869,1
19250,1
6715,0
1916,0
28018,1
15325,1
309,0
19569,1
6187,0
22435,1
13079,0
9823,0
21164,1
22589,1
4549,0
9306,0
6323,0
9040,0
10595,0
255,0
8902,0
234,0
3861,0
21756,1
13032,0
27442,1
6509,0
6682,0
5607,0
7893,0
11036,0
8253,0
4869,0
10332,0
2747,0
24845,1
9668,0
15211,1
28388,1
17996,1
25547,1
27355,1
17603,1
24700,1
2486,0
17637,1
1498,0
23787,1
7021,0
17714,1
12187,0
26253,1
11972,0
4219,0
22116,1
1542,0
21983,1
25594,1
27742,1
6930,0
6262,0
5179,0
5224,0
1321,0
18317,1
15030,1
23549,1
13314,0
5474,0
949,0
694,0
14485,0
27465,1
165,0
21845,1
23894,1
5268,0
7011,0
23816,1
21732,1
337,0
17092,1
27572,1
23219,1
8526,0
24637,1
3907,0
29230,1
15372,1
17588,1
25034,1
7490,0
4621,0
16703,1
23297,1
14701,1
27570,1
2026,0
20661,1
20704,1
26397,1
8937,0
20436,1
1973,0
5376,0
11341,0
24509,1
128,0
13004,0
28398,1
1804,0
16414,1
17921,1
5420,0
11198,0
27576,1
5247,0
10140,0
21523,1
2078,0
24518,1
18795,1
26126,1
23221,1
28214,1
21518,1
4950,0
6096,0
23808,1
14622,0
6336,0
3818,0
4604,0
781,0
7585,0
3660,0
23389,1
3377,0
4070,0
19043,1
9353,0
23083,1
15878,1
26142,1
16110,1
25991,1
27652,1
18881,1
22444,1
25495,1
10817,0
11324,0
14389,0
1385,0
24129,1
21670,1
9456,0
16166,1
18149,1
15192,1
26864,1
14140,0
7576,0
11122,0
11410,0
5082,0
7286,0
26710,1
25012,1
19286,1
2353,0
26446,1
209,0
15734,1
4594,0
23120,1
4207,0
18803,1
4287,0
