,swin,stcpb,dtcpb,dwin,trans_depth,response_body_len,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,label
12754,255,1138781640,1154075522,255,0,0,0,0,0,0,0
32078,255,648920234,2026080535,255,0,0,0,0,0,0,1
6891,0,0,0,0,0,0,0,0,0,0,1
23161,255,4099987431,3774241956,255,0,0,0,0,0,0,1
29213,0,0,0,0,0,0,0,0,0,0,1
8609,255,1912667096,2142723959,255,0,0,0,0,0,0,1
14476,255,277505383,277811075,255,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0,1
27490,0,0,0,0,0,0,0,0,0,0,1
36377,255,1562617447,2484683594,255,0,0,0,0,0,0,0
19007,255,1796023415,3653371779,255,1,0,0,0,1,0,0
32176,255,1144451484,3344610490,255,0,0,0,0,0,0,1
30667,255,3295921051,3200192394,255,0,0,0,0,0,0,1
3982,0,0,0,0,0,0,0,0,0,0,1
21415,255,2060451822,247899868,255,0,0,0,0,0,0,1
17446,0,0,0,0,0,0,0,0,0,0,0
22345,255,3382129080,228038169,255,0,0,0,0,0,0,1
31917,255,2540234186,800320790,255,0,0,0,0,0,0,1
2615,255,4006452384,3682324978,255,0,0,0,0,0,0,1
27448,0,0,0,0,0,0,0,0,0,0,1
21093,255,3086869774,1558027075,255,1,456,0,0,1,0,1
19871,255,3142541716,3258231243,255,0,0,0,0,0,0,1
40172,255,398483151,2080841945,255,0,0,0,0,0,0,0
37011,255,2072942490,3178632166,255,0,0,0,0,0,0,0
21134,255,1531932136,2222834044,255,0,0,0,0,0,0,1
28209,255,1484593071,55453624,255,1,2458,0,0,1,0,1
20232,255,779041045,456109095,255,1,109,0,0,1,0,1
23034,0,0,0,0,0,0,0,0,0,0,1
12239,0,0,0,0,0,0,0,0,0,0,0
5804,255,2310572090,2492381500,255,1,0,0,0,1,0,1
30463,0,0,0,0,0,0,0,0,0,0,1
27061,255,543273895,2346950415,255,0,0,0,0,0,0,1
37825,255,0,0,0,0,0,0,0,0,0,0
20872,255,2626631971,872462373,255,1,157,0,0,1,0,1
35033,255,4215555813,129041242,255,0,0,0,0,0,0,0
1635,0,0,0,0,0,0,0,0,0,0,1
26436,255,4071223751,2556585058,255,0,0,0,0,0,0,1
7390,0,0,0,0,0,0,0,0,0,0,1
34521,255,0,0,0,0,0,0,0,0,0,0
35939,255,1504242839,992176560,255,0,0,0,0,0,0,0
12035,255,3244699793,3468629573,255,0,0,0,0,0,0,0
33537,255,1019381202,3664590219,255,0,0,0,0,0,0,1
37012,255,2923896148,3009140701,255,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,1
22845,255,2490273519,3593808580,255,0,0,0,0,0,0,1
20214,255,3911106106,2860591481,255,0,0,0,0,0,0,1
20905,255,1484699547,1753693256,255,1,466,0,0,1,0,1
17183,0,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,1
25028,0,0,0,0,0,0,0,0,0,0,1
38864,255,1251134095,2882636870,255,0,0,0,0,0,0,0
12014,0,0,0,0,0,0,0,0,0,0,0
9288,255,548541143,2033918500,255,1,0,0,0,1,0,1
37455,255,3106853376,2424310808,255,1,216,0,0,1,0,0
1081,255,3250437533,4206996392,255,1,164,0,0,1,0,1
11067,255,2200011681,3137213467,255,1,64,0,0,1,0,1
13745,255,3014968752,877364850,255,0,0,0,0,0,0,0
34611,255,3240245392,2429276715,255,0,0,0,0,0,0,0
19966,255,2834916224,3761157621,255,0,0,0,0,0,0,1
25195,0,0,0,0,0,0,0,0,0,0,1
10194,0,0,0,0,0,0,0,0,0,0,1
29224,0,0,0,0,0,0,0,0,0,0,1
1400,0,0,0,0,0,0,0,0,0,0,1
34817,255,614886086,311763262,255,0,0,0,0,0,0,0
23478,0,0,0,0,0,0,0,0,0,0,1
8685,255,4121310812,276571947,255,0,0,1,1,0,0,1
18816,255,2859233102,3403149541,255,0,0,0,0,0,0,0
37056,255,3396502641,1168731477,255,0,0,0,0,0,0,0
24458,255,3482236365,3065524188,255,0,0,0,0,0,0,1
26707,255,2497296627,4142670842,255,0,0,0,0,0,0,1
11311,0,0,0,0,0,0,0,0,0,0,1
38339,255,2065393348,495132920,255,0,0,0,0,0,0,0
21332,0,0,0,0,0,0,0,0,0,0,1
11182,255,1746520473,3118886138,255,0,0,0,0,0,0,1
20554,255,5549892,2181415720,255,0,0,0,0,0,0,1
1799,0,0,0,0,0,0,0,0,0,0,1
4272,0,0,0,0,0,0,0,0,0,0,1
6836,255,2186342952,3377208850,255,1,0,0,0,1,0,1
39756,255,212206320,3564622385,255,1,199,0,0,9,0,0
34135,0,0,0,0,0,0,0,0,0,0,1
33777,0,0,0,0,0,0,0,0,0,0,1
20842,255,4072765424,2797656818,255,0,0,0,0,0,0,1
18905,255,1576035933,1362132228,255,0,0,0,0,0,0,0
35615,255,3021906381,2569738975,255,1,141,0,0,1,0,0
19641,255,4130251525,624132654,255,0,0,0,0,0,0,1
35048,255,3645426655,4196587295,255,0,0,0,0,0,0,0
19190,255,340971389,1712143736,255,1,239,0,0,1,0,0
1250,0,0,0,0,0,0,0,0,0,0,1
28376,255,345934302,970784841,255,1,0,0,0,1,0,1
9050,255,756022919,1501990581,255,1,0,0,0,1,0,1
13889,255,2178522133,2188062537,255,0,0,0,0,0,0,0
17464,255,476759562,487587823,255,0,0,0,0,0,0,0
39573,255,516224793,76827327,255,1,198,0,0,1,0,0
3141,0,0,0,0,0,0,0,0,0,0,1
1690,0,0,0,0,0,0,0,0,0,0,1
30911,0,0,0,0,0,0,0,0,0,0,1
36545,0,0,0,0,0,0,0,0,0,0,0
40222,255,4267224956,243281085,255,0,0,0,0,0,0,0
38603,0,0,0,0,0,0,0,0,0,1,0
29317,0,0,0,0,0,0,0,0,0,0,1
2877,0,0,0,0,0,0,0,0,0,0,1
32780,0,0,0,0,0,0,0,0,0,0,1
13713,255,3070192002,3066330084,255,0,0,0,0,0,0,0
24475,255,1355477185,2045292928,255,0,0,0,0,0,0,1
30832,255,2746114501,1515895281,255,0,0,0,0,0,0,1
22647,255,4205525953,3815962617,255,0,0,0,0,0,0,1
30952,255,3836684097,1076247050,255,0,0,0,0,0,0,1
14840,0,0,0,0,0,0,0,0,0,0,0
15048,255,752736799,2923125837,255,0,0,0,0,0,0,0
2980,0,0,0,0,0,0,0,0,0,0,1
33139,255,3474758139,177110303,255,0,0,0,0,0,0,1
9114,0,0,0,0,0,0,0,0,0,0,1
11661,255,376122139,2207796190,255,1,0,0,0,1,0,1
8741,255,2465190603,1177932914,255,1,0,0,0,1,0,1
12383,255,1371428489,1404742038,255,0,0,0,0,0,0,0
35766,255,4188532190,3421062861,255,0,0,0,0,0,0,0
2497,255,3020465678,1628057147,255,0,0,0,0,0,0,1
14158,255,1752475420,3907791323,255,0,0,0,0,0,0,0
22997,0,0,0,0,0,0,0,0,0,0,1
19220,0,0,0,0,0,0,0,0,0,1,0
30309,0,0,0,0,0,0,0,0,0,0,1
24819,0,0,0,0,0,0,0,0,0,0,1
1816,0,0,0,0,0,0,0,0,0,0,1
23258,255,4138478392,1983344600,255,0,0,0,0,0,0,1
16603,255,569928658,2831055984,255,0,0,0,0,0,0,0
26319,255,2480270272,453861168,255,1,0,0,0,1,0,1
16149,0,0,0,0,0,0,0,0,0,0,0
8083,0,0,0,0,0,0,0,0,0,0,1
21869,255,3448746976,296403492,255,0,0,0,0,0,0,1
33286,0,0,0,0,0,0,0,0,0,0,1
236,0,0,0,0,0,0,0,0,0,0,1
18673,255,663159590,3763172795,255,1,0,0,0,1,0,0
28952,0,0,0,0,0,0,0,0,0,0,1
27919,255,65351973,4253574803,255,1,2223,0,0,1,0,1
22727,255,873058743,441263086,255,0,0,0,0,0,0,1
13390,255,308097924,358165419,255,0,0,0,0,0,0,0
15250,255,583457235,2734071052,255,1,3924,0,0,1,0,0
30142,255,592977836,4159183509,255,0,0,0,0,0,0,1
317,0,0,0,0,0,0,0,0,0,0,1
10796,255,1698487784,3704347732,255,0,0,0,0,0,0,1
17164,255,3681306359,1537953946,255,0,0,0,0,0,0,0
22077,0,0,0,0,0,0,0,0,0,0,1
21036,255,452666942,2144740079,255,0,0,0,0,0,0,1
15445,255,4036716222,4041221365,255,0,0,0,0,0,0,0
22196,255,2249894960,2671960064,255,0,0,0,0,0,0,1
9233,255,4246322969,3355044273,255,0,0,0,0,0,0,1
38750,255,3320849412,3856446803,255,0,0,0,0,0,0,0
4538,0,0,0,0,0,0,0,0,0,0,1
31953,255,2363761189,2362513292,255,0,0,0,0,0,0,1
18332,255,3023850049,1429180002,255,0,0,0,0,0,0,0
21503,255,4259171110,1750466623,255,0,0,0,0,0,0,1
40214,255,86159305,231484970,255,0,0,0,0,0,0,0
25830,0,0,0,0,0,0,0,0,0,0,1
30588,255,2237050220,2518756480,255,0,0,0,0,0,0,1
18752,255,2719428942,2195681987,255,0,0,0,0,0,0,0
13877,255,3705346676,1569095554,255,0,0,0,0,0,0,0
903,0,0,0,0,0,0,0,0,0,0,1
34702,0,0,0,0,0,0,0,0,0,0,0
19416,0,0,0,0,0,0,0,0,0,0,0
32842,0,0,0,0,0,0,0,0,0,0,1
33201,255,1528608541,3691068963,255,0,0,0,0,0,0,1
25931,255,3185460088,1688217075,255,0,0,0,0,0,0,1
9649,255,3290226613,4032105559,255,1,0,0,0,1,0,1
10395,255,2409664843,2298141472,255,0,0,0,0,0,0,1
36765,0,0,0,0,0,0,0,0,0,0,0
39595,255,1766331187,4133538984,255,1,124,0,0,1,0,0
13189,255,3640969974,3649921200,255,0,0,0,0,0,0,0
34492,255,0,0,0,0,0,0,0,0,0,0
24661,0,0,0,0,0,0,0,0,0,0,1
28261,0,0,0,0,0,0,0,0,0,0,1
36375,255,1331058425,2599666159,255,0,0,0,0,0,0,0
2315,0,0,0,0,0,0,0,0,0,0,1
16322,0,0,0,0,0,0,0,0,0,0,0
30908,255,1377286288,3836720586,255,0,0,0,0,0,0,1
18768,255,1665901058,1001300495,255,0,0,0,0,0,0,0
3934,0,0,0,0,0,0,0,0,0,0,1
26262,0,0,0,0,0,0,0,0,0,0,1
35318,255,2074497268,4040864226,255,1,126,0,0,1,0,0
14404,0,0,0,0,0,0,0,0,0,0,0
22258,0,0,0,0,0,0,0,0,0,0,1
6712,255,2753353788,1829135816,255,0,0,0,0,0,0,1
30502,0,0,0,0,0,0,0,0,0,0,1
32517,255,2792856589,680810996,255,0,0,0,0,0,0,1
18081,255,1077542243,1079024586,255,1,3924,0,0,1,0,0
5687,255,1223568545,952069548,255,0,0,0,0,0,0,1
40076,0,0,0,0,0,0,0,0,0,1,0
28476,255,1358586795,1084096615,255,0,0,0,0,0,0,1
21435,255,2015542487,3013834738,255,0,0,0,0,0,0,1
11865,255,622307277,679635267,255,0,0,0,0,0,0,0
244,255,396696120,986523889,255,1,65,0,0,1,0,1
25881,0,0,0,0,0,0,0,0,0,0,1
38365,0,0,0,0,0,0,0,0,0,0,0
35354,255,2994449010,2951717481,255,1,172,0,0,4,0,0
591,255,3609274370,35269623,255,0,0,0,0,0,0,1
6230,255,942469761,382185412,255,0,0,0,0,0,0,1
24879,255,3694433357,2315543306,255,0,0,0,0,0,0,1
14114,255,1713129364,3875749588,255,0,0,0,0,0,0,0
3762,255,1196635294,2430599632,255,0,0,0,0,0,0,1
9253,255,4004217151,369954498,255,1,7948,0,0,1,0,1
35698,255,1133697777,1940250726,255,0,0,0,0,0,0,0
11976,255,3745771986,1606206094,255,0,0,0,0,0,0,0
30869,255,2173786497,410917908,255,0,0,0,0,0,0,1
1939,255,639103676,1183410137,255,0,0,0,0,0,0,1
12784,255,828454263,962998212,255,0,0,0,0,0,0,0
9054,0,0,0,0,0,0,0,0,0,0,1
25736,255,3144062815,3638669828,255,1,99,0,0,1,0,1
3616,255,1345372189,1564041707,255,0,0,0,0,0,0,1
5464,0,0,0,0,0,0,0,0,0,0,1
28253,255,94266397,896290409,255,0,0,0,0,0,0,1
38257,255,570552659,905069331,255,0,0,0,0,0,0,0
10136,0,0,0,0,0,0,0,0,0,0,1
14843,0,0,0,0,0,0,0,0,0,0,0
20780,0,0,0,0,0,0,0,0,0,0,1
38952,255,1088295442,1359102260,255,0,0,0,0,0,0,0
667,255,3351184374,1855602343,255,0,0,0,0,0,0,1
17361,0,0,0,0,0,0,0,0,0,0,0
16228,255,501397524,531159491,255,0,0,0,0,0,0,0
26132,0,0,0,0,0,0,0,0,0,0,1
20709,0,0,0,0,0,0,0,0,0,0,1
9917,255,3884036270,3509389863,255,0,0,0,0,0,0,1
39724,255,2364889479,1638039320,255,0,0,0,0,0,0,0
20682,255,3824828806,120734111,255,0,0,0,0,0,0,1
26606,255,1315541610,4126124134,255,0,0,0,0,0,0,1
23135,0,0,0,0,0,0,0,0,0,0,1
52,255,4178422368,2909803900,255,1,245,0,0,1,0,0
2852,0,0,0,0,0,0,0,0,0,0,1
23088,255,2253485775,833291280,255,0,0,0,0,0,0,1
12228,0,0,0,0,0,0,0,0,0,0,0
12246,0,0,0,0,0,0,0,0,0,0,0
25311,0,0,0,0,0,0,0,0,0,0,1
33609,255,3054603036,1609905578,255,0,0,0,0,0,0,1
14953,255,891203240,3044627066,255,0,0,0,0,0,0,0
17452,255,158067340,2304477436,255,0,0,0,0,0,0,0
4317,0,0,0,0,0,0,0,0,0,0,1
18175,0,0,0,0,0,0,0,0,0,0,0
4900,0,0,0,0,0,0,0,0,0,0,1
34819,255,3089687833,951645642,255,0,0,0,0,0,0,0
4476,0,0,0,0,0,0,0,0,0,0,1
6756,0,0,0,0,0,0,0,0,0,0,1
23063,255,68617679,1988171130,255,0,0,0,0,0,0,1
5087,0,0,0,0,0,0,0,0,0,0,1
29707,255,3585258223,2737760802,255,0,0,0,0,0,0,1
23388,255,3909255672,2423053311,255,0,0,0,0,0,0,1
11952,0,0,0,0,0,0,0,0,0,0,0
27211,255,2462665885,3105986680,255,0,0,0,0,0,0,1
38128,255,3942037164,1292090859,255,0,0,0,0,0,0,0
16198,255,2770975595,2771325138,255,0,0,0,0,0,0,0
33365,255,1581188955,804138559,255,0,0,0,0,0,0,1
27692,255,2590913288,3742911302,255,0,0,0,0,0,0,1
15828,0,0,0,0,0,0,0,0,0,0,0
15382,255,2673610737,528527124,255,0,0,0,0,0,0,0
22209,255,2115516792,4122671492,255,0,0,0,0,0,0,1
10894,255,680138946,947319993,255,1,0,0,0,1,0,1
10248,255,4015255646,2380991895,255,0,0,0,0,0,0,1
8603,0,0,0,0,0,0,0,0,0,0,1
2521,0,0,0,0,0,0,0,0,0,0,1
23524,255,1995610647,41860021,255,0,0,0,0,0,0,1
23860,0,0,0,0,0,0,0,0,0,0,1
5497,255,3966869311,2040835471,255,0,0,0,0,0,0,1
37883,255,0,0,0,0,0,0,0,0,0,0
2536,0,0,0,0,0,0,0,0,0,0,1
34022,255,676366878,1923162137,255,0,0,0,0,0,0,1
28901,0,0,0,0,0,0,0,0,0,0,1
33780,0,0,0,0,0,0,0,0,0,0,1
28030,0,0,0,0,0,0,0,0,0,0,1
40438,255,1526760771,2866429343,255,0,0,0,0,0,0,0
39757,255,3793983883,3118225523,255,1,126,0,0,4,0,0
15705,255,2023845834,2024162688,255,0,0,0,0,0,0,0
28509,0,0,0,0,0,0,0,0,0,0,1
15939,255,4077245290,1939529609,255,0,0,0,0,0,0,0
24139,255,1723478545,1462742422,255,0,0,0,0,0,0,1
11449,0,0,0,0,0,0,0,0,0,0,1
14891,0,0,0,0,0,0,0,0,0,0,0
10697,255,4233332168,1640165149,255,0,0,0,0,0,0,1
33313,255,1956495375,998197611,255,0,0,0,0,0,0,1
9122,255,1370559371,2701398527,255,1,0,0,0,1,0,1
21602,255,2345529582,3390005150,255,0,0,0,0,0,0,1
6128,0,0,0,0,0,0,0,0,0,0,1
28821,0,0,0,0,0,0,0,0,0,0,1
1772,0,0,0,0,0,0,0,0,0,0,1
31221,0,0,0,0,0,0,0,0,0,0,1
25643,255,3743328793,4287302801,255,0,0,0,0,0,0,1
14166,255,105648006,109823828,255,0,0,0,0,0,0,0
2561,255,452625104,2363424753,255,0,0,0,0,0,0,1
24675,0,0,0,0,0,0,0,0,0,0,1
12351,255,1038650846,3254471616,255,0,0,0,0,0,0,0
7969,0,0,0,0,0,0,0,0,0,0,1
30287,255,2397189127,2041776024,255,0,0,0,0,0,0,1
18566,255,3952565703,3556886178,255,0,0,0,0,0,0,0
4382,0,0,0,0,0,0,0,0,0,0,1
24884,255,896470739,1611156183,255,0,0,0,0,0,0,1
7712,0,0,0,0,0,0,0,0,0,0,1
37285,255,131728510,1926688276,255,0,0,0,0,0,0,0
34318,255,0,0,0,0,0,0,0,0,0,0
3446,255,1964956160,1792136092,255,1,0,0,0,1,0,1
8760,255,4291141262,753051865,255,1,169,0,0,1,0,1
19169,255,218473251,1406381413,255,0,0,0,0,0,0,0
30473,0,0,0,0,0,0,0,0,0,0,1
29995,0,0,0,0,0,0,0,0,0,0,1
17020,255,3017115254,3021522630,255,0,0,0,0,0,0,0
43,255,0,0,0,0,0,0,0,0,0,0
37621,0,0,0,0,0,0,0,0,0,0,0
26766,0,0,0,0,0,0,0,0,0,0,1
32082,255,2931409553,2773531113,255,0,0,0,0,0,0,1
36980,255,3083337867,3010469812,255,0,0,0,0,0,0,0
30024,0,0,0,0,0,0,0,0,0,0,1
19114,255,2350445429,3160058061,255,0,0,0,0,0,0,0
4676,0,0,0,0,0,0,0,0,0,0,1
10868,255,3827828672,1272885123,255,1,0,0,0,1,0,1
18869,255,4051631763,1243744064,255,0,0,0,0,0,0,0
27087,255,3226790697,1141775181,255,0,0,0,0,0,0,1
22366,255,2759638527,2844776156,255,0,0,0,0,0,0,1
10485,255,2617467309,195617628,255,1,0,0,0,1,0,1
21844,255,1994492235,784435805,255,0,0,0,0,0,0,1
34200,255,2313539943,1347381401,255,0,0,0,0,0,0,1
33898,255,2816311786,1655858407,255,0,0,0,0,0,0,1
34486,255,1356485685,3445837165,255,0,0,0,0,0,0,0
26525,0,0,0,0,0,0,0,0,0,0,1
19669,255,3658126054,2216068228,255,1,0,0,0,1,0,1
6365,255,1047948604,224987899,255,0,0,0,0,0,0,1
38758,255,4030113522,2792479785,255,0,0,0,0,0,0,0
6115,0,0,0,0,0,0,0,0,0,0,1
10242,0,0,0,0,0,0,0,0,0,0,1
34897,255,1750349882,1014170367,255,0,0,0,0,0,0,0
7890,0,0,0,0,0,0,0,0,0,0,1
13868,0,0,0,0,0,0,0,0,0,0,0
36002,255,3243114592,4242950495,255,0,0,0,0,0,0,0
38702,0,0,0,0,0,0,0,0,0,0,0
39213,255,2760673600,1294757395,255,0,0,0,0,0,0,0
11675,255,2873499361,4121914282,255,0,0,0,0,0,0,1
32971,255,3695872845,1495413189,255,0,0,0,0,0,0,1
21689,255,1361232383,3957375663,255,0,0,0,0,0,0,1
33602,255,1263812604,93552771,255,0,0,0,0,0,0,1
23775,0,0,0,0,0,0,0,0,0,0,1
40267,255,2064750548,836553510,255,0,0,0,0,0,0,0
594,255,1455819137,77698675,255,0,0,0,0,0,0,1
6572,0,0,0,0,0,0,0,0,0,0,1
28838,0,0,0,0,0,0,0,0,0,0,1
8780,255,491378758,339416033,255,1,0,0,0,1,0,1
21951,255,2602467472,3630488320,255,0,0,0,0,0,0,1
6846,0,0,0,0,0,0,0,0,0,0,1
33526,255,4022022881,3174708980,255,0,0,0,0,0,0,1
22487,255,1740826949,1579035168,255,1,0,0,0,1,0,1
32465,255,680133364,1820775602,255,0,0,0,0,0,0,1
8524,0,0,0,0,0,0,0,0,0,0,1
38866,0,0,0,0,0,0,0,0,0,0,0
16629,255,3476270654,1326990842,255,0,0,0,0,0,0,0
8437,255,1901139859,2306358616,255,1,0,0,0,1,0,1
31002,255,188254153,2379325652,255,0,0,0,0,0,0,1
37327,255,808717126,596158699,255,0,0,0,0,0,0,0
19649,0,0,0,0,0,0,0,0,0,0,1
34765,0,0,0,0,0,0,0,0,0,0,0
31012,255,1289985916,4072997509,255,0,0,0,0,0,0,1
32872,255,3081642583,101164194,255,0,0,0,0,0,0,1
37074,0,0,0,0,0,0,0,0,0,0,0
15468,0,0,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0,0,0,1
13187,255,3371987795,3368105367,255,0,0,0,0,0,0,0
16884,0,0,0,0,0,0,0,0,0,0,0
6254,255,1146687772,4111375396,255,1,525,0,0,1,0,1
7689,0,0,0,0,0,0,0,0,0,0,1
19455,255,1064767213,3192682336,255,0,0,0,0,0,0,0
39341,255,2928594970,1585807906,255,0,0,0,0,0,0,0
22040,255,2923765065,3598645554,255,0,0,0,0,0,0,1
31054,255,1824590318,1397616767,255,0,0,0,0,0,0,1
28721,255,925860401,1147485814,255,0,0,0,0,0,0,1
13354,0,0,0,0,0,0,0,0,0,0,0
5604,255,1478792005,1437087695,255,0,0,0,0,0,0,1
13573,0,0,0,0,0,0,0,0,0,0,0
32195,255,2471914418,3165818776,255,0,0,0,0,0,0,1
31341,0,0,0,0,0,0,0,0,0,0,1
37941,255,3095542293,528817684,255,1,160,0,0,1,0,0
5905,255,1809174047,2477304684,255,1,0,0,0,1,0,1
522,255,2025630580,2431672182,255,0,0,1,1,0,0,1
7523,0,0,0,0,0,0,0,0,0,0,1
16813,255,3344340045,3347383460,255,0,0,0,0,0,0,0
26182,255,1355018376,2150870035,255,0,0,0,0,0,0,1
28008,0,0,0,0,0,0,0,0,0,0,1
10067,255,982963840,1040721481,255,1,533,0,0,1,0,1
29686,255,953354979,211154746,255,0,0,0,0,0,0,1
6391,0,0,0,0,0,0,0,0,0,0,1
17137,0,0,0,0,0,0,0,0,0,0,0
24079,0,0,0,0,0,0,0,0,0,0,1
19406,0,0,0,0,0,0,0,0,0,0,0
21835,255,3107969305,4106095080,255,0,0,0,0,0,0,1
11956,255,2358016990,2358328436,255,0,0,0,0,0,0,0
35230,255,1595730168,1339774418,255,1,181,0,0,1,0,0
20242,0,0,0,0,0,0,0,0,0,0,1
38649,0,0,0,0,0,0,0,0,0,1,0
40060,255,2333440855,3131075160,255,0,0,0,0,0,0,0
2573,255,1598622176,1457985571,255,0,0,0,0,0,0,1
28792,0,0,0,0,0,0,0,0,0,0,1
26344,0,0,0,0,0,0,0,0,0,0,1
27407,0,0,0,0,0,0,0,0,0,0,1
40360,255,2189583593,569639445,255,0,0,0,0,0,0,0
35753,255,597762304,1414215324,255,0,0,0,0,0,0,0
16895,255,1122446597,3278157676,255,0,0,0,0,0,0,0
23495,0,0,0,0,0,0,0,0,0,0,1
29832,255,2849352632,3714419957,255,0,0,0,0,0,0,1
9318,0,0,0,0,0,0,0,0,0,0,1
38410,255,4162262197,1415838887,255,0,0,0,0,0,0,0
26567,255,1909608986,864947920,255,0,0,0,0,0,0,1
31871,255,2526930538,240434603,255,0,0,0,0,0,0,1
32610,255,2736757718,3754785732,255,0,0,0,0,0,0,1
33041,255,2666177138,1703346932,255,0,0,0,0,0,0,1
19449,255,248703027,2467077665,255,0,0,0,0,0,0,0
17083,0,0,0,0,0,0,0,0,0,0,0
16000,0,0,0,0,0,0,0,0,0,0,0
11735,255,2688742397,1046822751,255,0,0,0,0,0,0,1
22403,255,1765641850,2990191675,255,0,0,0,0,0,0,1
20385,255,488399530,924960196,255,1,0,0,0,1,0,1
9065,255,424632402,531940573,255,0,0,0,0,0,0,1
9121,255,3514495261,344201426,255,1,272,0,0,1,0,1
17601,255,2703188125,558086699,255,0,0,0,0,0,0,0
8945,255,4116626847,1200304875,255,0,0,0,0,0,0,1
4314,0,0,0,0,0,0,0,0,0,0,1
7125,255,2350327900,741565389,255,1,1793,0,0,1,0,1
39895,255,0,0,0,0,0,0,0,0,0,0
7455,255,2555068471,1239245168,255,0,0,0,0,0,0,1
